,N_epochs,Train Loss,Valid BLEU
0,1,4.158564234439563,0.0009164349059890738
1,2,3.343813242177247,0.002762421029348846
2,3,3.0892150119359316,0.0033617885168228437
3,4,2.9344845798175796,0.0034444705516346124
4,5,2.825553184441427,0.004123693109477582
5,6,2.73260391653762,0.005117682716046246
6,7,2.651114126439151,0.005946731539070572
7,8,2.5791221989002153,0.006344930307862371
8,9,2.5162849506370635,0.008267354246864438
9,10,2.4608217176241367,0.009416064961111864
10,11,2.4095591645938135,0.008309620574220402
11,12,2.364630876322509,0.010027748899352703
12,13,2.3251238477088716,0.009857795938784743
13,14,2.2876760921930606,0.011135241416087146
14,15,2.2527316250348752,0.009550348078330611
15,16,2.2218645853487398,0.012400629502857466
16,17,2.188982531958418,0.012316300071825685
17,18,2.162658542748025,0.013514804752589989
18,19,2.133657727552497,0.013840125845463165
19,20,2.1073203282393957,0.015185650105274513
20,21,2.084466720051445,0.013599078679857206
21,22,2.058317161360277,0.015579738087776341
22,23,2.0361340055352612,0.016639887900323492
23,24,2.013770737902449,0.016797656802498468
24,25,1.9937054342903167,0.01662435674996588
25,26,1.9729933328779319,0.01851253064253564
26,27,1.9524281979078362,0.017967434306669174
27,28,1.9343042913161719,0.018935964478669142
28,29,1.9149947517474177,0.01843495863748825
29,30,1.8962268016555093,0.01805209795704795
30,31,1.8790972501392893,0.01811144276211243
31,32,1.8607103155535671,0.017866358150520723
32,33,1.8443548783012058,0.02062824631909897
33,34,1.8281934871503958,0.020105945959191133
34,35,1.8110306842525015,0.02126147808290827
35,36,1.7964257374111372,0.020057233997542678
36,37,1.7811393770775776,0.021376515528590146
37,38,1.765186993500932,0.02138039398345186
38,39,1.7504590629588945,0.020274070914574917
39,40,1.738060309010532,0.022655516734758616
40,41,1.7219009993104595,0.02190444975370839
41,42,1.7099755069483882,0.02144337908639779
42,43,1.6963616282101206,0.024252192332040443
43,44,1.6846047312374643,0.021817295900188598
44,45,1.6713093973902375,0.023073750271648014
45,46,1.6562972118260832,0.02383651495537386
46,47,1.6447186559556501,0.023190327539075385
47,48,1.6321360108409475,0.025004620970450652
48,49,1.6190092721475442,0.02336276711266174
49,50,1.608479217107117,0.02443671761948803
50,51,1.5975231047675544,0.024444939204454782
51,52,1.5855743779024116,0.023377202446978138
52,53,1.5745289631983037,0.02343704634012596
53,54,1.564887284761361,0.023244211009512312
54,55,1.5527014753564072,0.02600630561621384
55,56,1.54207398227081,0.023894847097347946
56,57,1.531925010115733,0.026139695779477917
57,58,1.5206868815799004,0.02340673729079677
58,59,1.5103980401759092,0.024183976758232608
59,60,1.5026996526793528,0.026039649645434034
60,61,1.4910517674189783,0.02684761033339954
61,62,1.4805657668076013,0.026964475529619288
62,63,1.4707194194492144,0.024565156158558213
63,64,1.4618716364792683,0.026530498085427307
64,65,1.4524771064637678,0.02648471641002345
65,66,1.4419280116265942,0.026489436245321907
66,67,1.4339403524229177,0.026098092423305803
67,68,1.4241246140521506,0.026204001184700648
68,69,1.4155615947463296,0.0252439797289564
69,70,1.4078269054295989,0.025704906684741773
70,71,1.4001843114144246,0.02639683631260584
71,72,1.3906759563170874,0.025998975021699705
72,73,1.3804049878252354,0.027277376740510013
73,74,1.372085975328453,0.02577500420988922
74,75,1.365289923701833,0.026201822689415608
75,76,1.3582077490482405,0.026543126541871204
76,77,1.3493778828104495,0.027080587699664916
77,78,1.3406629527039207,0.025902964700134787
78,79,1.3329943175843582,0.02748857638436702
79,80,1.325653120698665,0.025668604169902035
80,81,1.318797037771097,0.02625802484086754
81,82,1.3123838536352979,0.0259653731079337
82,83,1.3043396538896523,0.026056424738506664
83,84,1.2960703476615574,0.02695357858526728
84,85,1.2906365722064443,0.025796957467739117
85,86,1.2818922329797104,0.026646441174207728
86,87,1.2769676380949058,0.026540925405543432
87,88,1.2688548788722795,0.026827402908388646
88,89,1.2624712018627422,0.02686810918092595
89,90,1.2555015654903157,0.027666380727820444
90,91,1.2460074243338213,0.025530725719813765
91,92,1.2407869446890156,0.02732549762288051
92,93,1.2358474206076309,0.02799397346648166
93,94,1.2274111733135027,0.02813491270799496
94,95,1.2217212637422585,0.025987006996191143
95,96,1.2150254348521177,0.02660234145986684
96,97,1.2096619351579267,0.026418338610402575
97,98,1.20168755106304,0.02650415512832539
98,99,1.1958562578608396,0.027646273492672378
99,100,1.1889823712850276,0.02663234159785248
