,N_epochs,Train Loss,Valid BLEU
0,1,4.207204572296896,0.001045606122017331
1,2,3.373254767519683,0.00126480144425542
2,3,3.116727970334381,0.00328055105779225
3,4,2.959079879545883,0.003902241918067951
4,5,2.852658407019061,0.0032361270876373875
5,6,2.7710359421643345,0.004853167131675012
6,7,2.7011164120534663,0.004833180738114594
7,8,2.636774195512764,0.00620082359428494
8,9,2.5760877174822236,0.0073099888588110985
9,10,2.517470239650591,0.00685295681000863
10,11,2.465231708387141,0.009280441123065813
11,12,2.4178244082824043,0.009357844367551937
12,13,2.3726822510067183,0.008337021405206183
13,14,2.333655965186862,0.010857822192970528
14,15,2.2964800638643648,0.011092306951440735
15,16,2.2647561433287007,0.010780807599822594
16,17,2.235115815528297,0.01191178362383653
17,18,2.204908815061622,0.013368162515436138
18,19,2.1780500025617275,0.012600003513930598
19,20,2.152513790743153,0.01265363505251643
20,21,2.129253930253945,0.013479172058093217
21,22,2.106434426288831,0.013682644213354855
22,23,2.0815966701790276,0.01460280177070801
23,24,2.0607592946455884,0.01475417229001034
24,25,2.0404446631552204,0.014025024737212437
25,26,2.0206752412403994,0.017057487607343148
26,27,2.001689721001938,0.017049324701475337
27,28,1.983468846841292,0.016891625535929482
28,29,1.966145363014206,0.015986196387088366
29,30,1.9489510653047222,0.016288928433346724
30,31,1.9320091289493877,0.016551294429036145
31,32,1.915331854886217,0.017168660325224593
32,33,1.9002566935987812,0.01834773844513842
33,34,1.8855368207565881,0.017461491546561732
34,35,1.8694844978600151,0.01838455137336459
35,36,1.8535323453986126,0.018472077360373297
36,37,1.8398178092575828,0.018927166032183973
37,38,1.8261197996233762,0.019395596923276026
38,39,1.8132905184987034,0.020060418514354056
39,40,1.7985791870256658,0.020110970034817287
40,41,1.7857252062544993,0.018761108505633194
41,42,1.7729471514347515,0.01970321120174309
42,43,1.7593392939435635,0.019574929683072548
43,44,1.7486515834397478,0.020441929095531264
44,45,1.733730145593877,0.019733204136577493
45,46,1.721514989264869,0.022134915681206905
46,47,1.7109193848998179,0.0204840327402893
47,48,1.698796885522458,0.01929924550636234
48,49,1.6871762134340913,0.02209726960173838
49,50,1.6764949454149238,0.020586983684528635
50,51,1.6651263818910471,0.020734689310347852
51,52,1.6534559345056887,0.020805909680749596
52,53,1.6431128783188318,0.022003892969898395
53,54,1.6317686702422944,0.020999574823519395
54,55,1.6219826988551929,0.021532357583171555
55,56,1.6120647180221768,0.02284514286226856
56,57,1.600952464130085,0.022243747256296974
57,58,1.5893055700030723,0.022192835246647988
58,59,1.5810944650012986,0.022207028602761088
59,60,1.5707418574646057,0.02257567464705939
60,61,1.560258245986441,0.02280662726749795
61,62,1.5503047052108252,0.02174300101103999
62,63,1.542522264092336,0.021828631053806294
63,64,1.5308211874584907,0.02294145127308607
64,65,1.5231897609507141,0.02254122898897358
65,66,1.5148983663721047,0.02288417750855474
66,67,1.5059312106121199,0.023123283358868586
67,68,1.4952425037919297,0.025716982635038833
68,69,1.4875984302622527,0.022375258048022834
69,70,1.4782232639817852,0.02380941744830089
70,71,1.4706901566313189,0.022940125593004655
71,72,1.4633077062636968,0.02239181156706067
72,73,1.4546413322682437,0.02293522812972611
73,74,1.4450734858456336,0.023783747925107665
74,75,1.4360009200959338,0.023496405824523347
75,76,1.4293795927711155,0.02351136189896409
76,77,1.4230489483463906,0.023907883922434137
77,78,1.4126494489168462,0.023516300472760335
78,79,1.407591983970446,0.023716184892575057
79,80,1.3974071974339692,0.023014551771051394
80,81,1.3902819557152246,0.02373509346162552
81,82,1.382287115447606,0.024793918188050237
82,83,1.3760907249488379,0.0244132397490877
83,84,1.3676538194121108,0.023748430297392886
84,85,1.3609285022430269,0.023146160673471843
85,86,1.35407578638891,0.023773243086341853
86,87,1.3469184785492336,0.025520893955343276
87,88,1.3383076615013152,0.02420469701998194
88,89,1.3327363983915728,0.02385806437864973
89,90,1.3259260032487952,0.02289946801514382
90,91,1.31921700667958,0.02466353762637599
91,92,1.3109735375336506,0.025798899848923997
92,93,1.3049100418335835,0.024403816054876903
93,94,1.2976540244615125,0.023306309078114013
94,95,1.294289063323628,0.023681314855471095
95,96,1.2866558976795361,0.025214911700940895
96,97,1.2793302766890393,0.02533094709435349
97,98,1.2740521885660798,0.02300921304692971
98,99,1.2673410177230835,0.024522937114281072
99,100,1.2625155076679033,0.02353183877991216
